date,close_price,signal,position,cash,portfolio_value,unrealized_pnl,realized_pnl,volatility_percentile,asset_volatility,drawdown_breach,days_since_signal,returns,cumulative_returns,drawdown
2015-02-24,187.0,0,0.0,1000000.0,1000000.0,0.0,0.0,100.0,0.5,False,0,,,0.0
2015-03-27,188.2,0,0.0,1000000.0,1000000.0,0.0,0.0,100.0,0.5,False,1,0.0,0.0,0.0
2015-04-27,207.4,0,0.0,1000000.0,1000000.0,0.0,0.0,100.0,0.5,False,2,0.0,0.0,0.0
2015-09-25,199.2,0,0.0,1000000.0,1000000.0,0.0,0.0,88.88888888888889,0.5,False,3,0.0,0.0,0.0
2016-02-03,204.0,0,0.0,1000000.0,1000000.0,0.0,0.0,42.857142857142854,0.5,False,4,0.0,0.0,0.0
2016-02-08,197.2,0,0.0,1000000.0,1000000.0,0.0,0.0,42.857142857142854,0.5,False,5,0.0,0.0,0.0
2016-02-10,204.4,0,0.0,1000000.0,1000000.0,0.0,0.0,42.857142857142854,0.5,False,6,0.0,0.0,0.0
2016-04-19,197.0,0,0.0,1000000.0,1000000.0,0.0,0.0,62.5,0.5,False,7,0.0,0.0,0.0
2016-06-27,219.0,0,0.0,1000000.0,1000000.0,0.0,0.0,27.77777777777778,0.5,False,8,0.0,0.0,0.0
2016-08-29,204.4,1,110000.00000000001,988994.5,1000000.0,0.0,0.0,15.0,0.5,False,0,0.0,0.0,0.0
2016-09-26,206.2,1,110000.00000000001,988994.5,989963.1888454012,968.688845401165,0.0,4.761904761904762,0.5,False,1,-0.010036811154598868,-0.010036811154598868,-0.010036811154598835
2016-10-13,217.0,-1,-114966.78716687422,995256.1465224042,995775.3219178083,6780.821917808217,0.0,86.36363636363636,0.5,False,0,0.005871059790804711,-0.004224678082191846,-0.004224678082191734
2016-10-19,217.6,-1,-114966.78716687422,995256.1465224042,994938.2660048921,-317.8805175120916,0.0,86.36363636363636,0.5,False,1,-0.0008406072077625781,-0.005061733995108009,-0.005061733995107934
2016-11-28,204.0,0,0.0,1013634.4881124953,1002143.5577351662,6887.41121276205,6887.41121276205,65.21739130434783,0.5,False,0,0.007241948547427324,0.0021435577351660573,0.0
2016-12-16,203.4,0,0.0,1013634.4881124953,1013634.4881124953,0.0,0.0,37.5,0.5,False,1,0.011466351590682766,0.013634488112495236,0.0
2017-01-25,204.2,1,123663.40754972442,1001261.9641871453,1013634.4881124953,0.0,0.0,12.0,0.5,False,0,0.0,0.013634488112495236,0.0
2017-03-20,222.0,0,0.0,1024401.7919695126,1012041.6343849176,10779.670197772264,10779.670197772264,74.07407407407408,0.5,False,0,-0.00157142810969646,0.012041634384917455,-0.001571428109696423
2017-05-23,208.4,0,0.0,1024401.7919695126,1024401.7919695126,0.0,0.0,27.586206896551722,0.5,False,1,0.012213091996069014,0.024401791969512532,0.0
2017-06-19,226.0,0,0.0,1024401.7919695126,1024401.7919695126,0.0,0.0,50.0,0.5,False,2,0.0,0.024401791969512532,0.0
2017-06-27,215.6,0,0.0,1024401.7919695126,1024401.7919695126,0.0,0.0,50.0,0.5,False,3,0.0,0.024401791969512532,0.0
2017-08-30,216.4,-1,-74269.12991778967,1016971.1655212378,1024401.7919695126,0.0,0.0,93.75,0.5,False,0,0.0,0.024401791969512532,0.0
2017-10-30,234.6,0,0.0,1018148.0703961522,1010724.8708608692,-6246.294660368628,-6246.294660368628,52.94117647058824,0.5,False,0,-0.013351129621071989,0.010724870860869151,-0.013351129621072011
2017-12-11,226.4,0,0.0,1018148.0703961522,1018148.0703961522,0.0,0.0,61.111111111111114,0.5,False,1,0.007344431456367095,0.018148070396152294,-0.00610475462107206
2018-11-28,232.2,0,0.0,1018148.0703961522,1018148.0703961522,0.0,0.0,46.808510638297875,0.5,False,2,0.0,0.018148070396152294,-0.00610475462107206
2019-03-22,227.0,1,42622.47314305461,1013883.6919581896,1018148.0703961522,0.0,0.0,21.568627450980394,0.5,False,0,0.0,0.018148070396152294,-0.00610475462107206
2019-03-25,228.4,1,42622.47314305461,1013883.6919581896,1014146.561836605,262.86987841531584,0.0,21.568627450980394,0.5,False,1,-0.003930183316057656,0.01414656183660501,-0.010010945132369348
2019-03-29,229.2,1,42622.47314305461,1013883.6919581896,1014296.7731956993,413.08123750977825,0.0,21.568627450980394,0.5,False,2,0.0001481160265655035,0.01429677319569933,-0.009864311887218959
2019-04-08,233.8,1,42622.47314305461,1013883.6919581896,1015160.4885104926,1276.7965523029598,0.0,1.9230769230769231,0.5,False,3,0.0008515410258793654,0.015160488510492565,-0.009021170727603544
2019-04-23,234.4,1,42622.47314305461,1013883.6919581896,1015273.1470298134,1389.4550716238077,0.0,1.9230769230769231,0.5,False,4,0.00011097606791810044,0.015273147029813305,-0.008911195793740752
2019-04-30,236.0,1,42622.47314305461,1013883.6919581896,1015573.5697480023,1689.877789812738,0.0,1.9230769230769231,0.5,False,5,0.0002959033429257296,0.01557356974800217,-0.008617929303439749
2019-06-25,235.2,1,42622.47314305461,1013883.6919581896,1015423.3583889079,1539.6664307182702,0.0,1.8518518518518516,0.5,False,6,-0.00014790790501939544,0.015423358388907626,-0.008764562548590251
2019-08-23,234.6,0,0.0,1019570.8160602354,1015310.699869587,1427.007911397422,1427.007911397422,66.07142857142857,0.5,False,0,-0.00011094733875305351,0.015310699869586664,-0.008874537482453156
2019-09-11,235.2,-1,-108933.09245275141,1008672.0601603376,1019570.8160602354,0.0,0.0,84.21052631578947,0.5,False,0,0.004195874416762946,0.019570816060235252,-0.004715899510473514
2019-10-02,234.0,1,74126.04489139025,1012690.2400866818,1009227.8412442802,555.781083942604,0.0,24.137931034482758,0.5,False,0,-0.010144439849623987,0.00922784124428011,-0.014812499201176683
2019-11-07,235.0,1,74126.04489139025,1012690.2400866818,1013007.0180563031,316.77796962132584,0.0,20.33898305084746,0.5,False,1,0.003744622034369982,0.01300701805630311,-0.01112334437769957
2019-11-22,230.8,1,74126.04489139025,1012690.2400866818,1011676.5505838935,-1013.6895027882391,0.0,20.33898305084746,0.5,False,2,-0.0013133842596296796,0.011676550583893608,-0.012422119411909188
2019-11-25,231.2,1,74126.04489139025,1012690.2400866818,1011803.261771742,-886.9783149397159,0.0,20.33898305084746,0.5,False,3,0.00012524871489349998,0.011803261771742068,-0.012298426551508332
2019-12-17,240.0,1,74126.04489139025,1012690.2400866818,1014590.9079044098,1900.667817727955,0.0,1.6666666666666667,0.5,False,4,0.0027551266515848383,0.014590907904409756,-0.009577183622688128
2020-01-17,235.4,-1,-99154.23546864896,1010613.5821583897,1013133.7292441516,443.48915746985796,0.0,81.9672131147541,0.5,False,0,-0.0014362228647090136,0.01313372924415157,-0.010999651517298713
2020-01-27,239.6,-1,-99154.23546864896,1010613.5821583897,1008844.4751534266,-1769.1070049631458,0.0,81.9672131147541,0.5,False,1,-0.004233650471715089,0.008844475153426679,-0.015186733309178899
2020-02-10,231.0,0,0.0,1022377.3981891569,1012466.9323540655,1853.3501956756838,1853.3501956756838,41.935483870967744,0.5,False,0,0.0035906993494592143,0.012466932354065596,-0.01165056495313346
2020-02-24,239.8,0,0.0,1022377.3981891569,1022377.3981891569,0.0,0.0,41.935483870967744,0.5,False,1,0.009788434089446074,0.02237739818915707,-0.001976171650835944
2020-03-11,233.0,0,0.0,1022377.3981891569,1022377.3981891569,0.0,0.0,39.682539682539684,0.5,False,2,0.0,0.02237739818915707,-0.001976171650835944
2020-03-23,231.0,0,0.0,1022377.3981891569,1022377.3981891569,0.0,0.0,39.682539682539684,0.5,False,3,0.0,0.02237739818915707,-0.001976171650835944
2020-03-24,232.8,0,0.0,1022377.3981891569,1022377.3981891569,0.0,0.0,39.682539682539684,0.5,False,4,0.0,0.02237739818915707,-0.001976171650835944
2020-04-03,230.4,-1,-135465.0052600633,1008824.1244128876,1022377.3981891569,0.0,0.0,90.625,0.5,False,0,0.0,0.02237739818915707,-0.001976171650835944
2020-04-06,228.0,-1,-135465.0052600633,1008824.1244128876,1010235.21821768,1411.0938047923294,0.0,90.625,0.5,False,1,-0.011876416666666612,0.010235218217680142,-0.013829118479572326
2020-04-07,224.0,-1,-135465.0052600633,1008824.1244128876,1012587.0412256671,3762.9168127795397,0.0,90.625,0.5,False,2,0.0023279954663788516,0.012587041225667228,-0.011533317138317832
2020-04-08,212.2,-1,-135465.0052600633,1008824.1244128876,1019524.9190992294,10700.794686341816,0.0,90.625,0.5,False,3,0.0068516360481607474,0.019524919099229487,-0.004760703181616792
2020-04-15,205.6,-1,-135465.0052600633,1008824.1244128876,1023405.4270624083,14581.302649520709,0.0,90.625,0.5,False,4,0.003806192365172878,0.023405427062408446,-0.0009726309685467069
2020-04-28,226.0,-1,-135465.0052600633,1008824.1244128876,1011411.1297216736,2587.0053087859346,0.0,90.625,0.5,False,5,-0.01171998606179303,0.011411129721673685,-0.01268121780894508
2020-05-06,216.0,-1,-135465.0052600633,1008824.1244128876,1017290.6872416416,8466.56282875396,0.0,100.0,0.5,False,6,0.005813222088614012,0.017290687241641844,-0.006941714455808617
2020-05-27,233.0,-1,-135465.0052600633,1008824.1244128876,1007295.4394576959,-1528.6849551916832,0.0,100.0,0.5,False,7,-0.009825360547679352,0.0072954394576962844,-0.016698870156140612
2020-06-11,237.0,-1,-135465.0052600633,1008824.1244128876,1004943.6164497087,-3880.507963178893,0.0,96.96969696969697,0.5,False,8,-0.002334789691148975,0.004943616449708976,-0.01899467149739522
2020-07-06,234.0,-1,-135465.0052600633,1008824.1244128876,1006707.4837056991,-2116.6407071884855,0.0,91.04477611940298,0.5,False,9,0.001755190268506679,0.006707483705699513,-0.01727282049145429
2020-07-27,232.4,-1,-135465.0052600633,1008824.1244128876,1007648.212908894,-1175.911503993605,0.0,91.04477611940298,0.5,False,10,0.0009344613191233364,0.007648212908894392,-0.016354499954952383
2020-07-31,226.6,-1,-135465.0052600633,1008824.1244128876,1011058.3562704754,2234.231857587856,0.0,91.04477611940298,0.5,False,11,0.0033842598219242515,0.0110583562704758,-0.013025588010133309
2020-08-19,238.6,-1,-135465.0052600633,1008824.1244128876,1004002.8872465139,-4821.237166373774,0.0,95.58823529411765,0.5,False,12,-0.006978300490970035,0.0040028872465140974,-0.019912992033897018
2020-09-04,230.0,-1,-135465.0052600633,1008824.1244128876,1009059.3067136863,235.18230079872436,0.0,92.7536231884058,0.5,False,13,0.005036259886701755,0.009059306713686377,-0.014977019150199685
2020-09-21,230.4,-1,-135465.0052600633,1008824.1244128876,1008824.1244128876,-0.0,0.0,92.7536231884058,0.5,False,14,-0.00023307084056800598,0.008824124412887713,-0.015206599284325136
2020-10-27,242.0,-1,-135465.0052600633,1008824.1244128876,1002003.8376897248,-6820.286723162906,0.0,88.57142857142857,0.5,False,15,-0.006760630082207952,0.0020038376897248966,-0.021864423173963393
2020-11-20,243.4,0,0.0,1014720.4269126725,1001180.6996369292,-7643.424775958432,-7643.424775958432,54.929577464788736,0.5,False,0,-0.0008214919163318513,0.0011806996369292388,-0.022667953643402523
2020-12-21,248.2,0,0.0,1014720.4269126725,1014720.4269126725,0.0,0.0,55.55555555555556,0.5,False,1,0.01352375977748399,0.01472042691267239,-0.009450749825638972
2020-12-29,256.0,0,0.0,1014720.4269126725,1014720.4269126725,0.0,0.0,55.55555555555556,0.5,False,2,0.0,0.01472042691267239,-0.009450749825638972
2021-01-05,254.6,1,122461.46522055678,1002468.1573173557,1014720.4269126725,0.0,0.0,12.32876712328767,0.5,False,0,0.0,0.01472042691267239,-0.009450749825638972
2021-01-25,253.4,1,122461.46522055678,1002468.1573173557,1001890.9626658842,-577.1946514715897,0.0,12.32876712328767,0.5,False,1,-0.012643348755501549,0.0018909626658840661,-0.02197460945509393
2021-01-29,254.2,1,122461.46522055678,1002468.1573173557,1002275.7591001985,-192.39821715720115,0.0,12.32876712328767,0.5,False,2,0.00038407017195818405,0.0022757591001985045,-0.021598979075167973
2021-03-01,259.8,-1,-69342.88405568755,1010262.0118219586,1004969.3341403994,2501.1768230435873,0.0,92.0,0.5,False,0,0.0026874590308549884,0.004969334140399351,-0.018969566415685816
2021-03-11,258.6,-1,-69342.88405568755,1010262.0118219586,1010582.3022794906,320.29045753204105,0.0,92.0,0.5,False,1,0.005585213347720996,0.01058230227949064,-0.013490302143510156
2021-04-07,278.6,0,0.0,1012174.9492486558,1005244.1279872899,-5017.883834668693,-5017.883834668693,56.57894736842105,0.5,False,0,-0.005282275654501234,0.005244127987289904,-0.018701318303426813
2021-07-30,280.2,0,0.0,1012174.9492486558,1012174.9492486558,0.0,0.0,32.91139240506329,0.5,False,1,0.006894664756950997,0.012174949248655809,-0.011935592866690981
2021-08-09,289.8,1,75913.12119364919,1004579.8414732312,1012174.9492486558,0.0,0.0,1.25,0.5,False,0,0.0,0.012174949248655809,-0.011935592866690981
2021-09-20,314.0,1,75913.12119364919,1004579.8414732312,1010919.0324079666,6339.190934735368,0.0,23.456790123456788,0.5,False,1,-0.0012408100414078582,0.010919032407966656,-0.013161593104619729
2021-11-03,304.2,0,0.0,1015939.4384927426,1008351.9220294374,3772.080556206165,3772.080556206165,49.39759036144578,0.5,False,0,-0.002539382775704979,0.008351922029437464,-0.01566755355749404
2021-12-28,295.0,1,54909.10774710775,1010445.7822626445,1015939.4384927426,0.0,0.0,15.476190476190476,0.5,False,0,0.007524670997834049,0.015939438492742486,-0.00826077574552099
2022-02-10,310.4,0,0.0,1018800.3891389356,1013312.2238196122,2866.441556967655,2866.441556967655,46.51162790697674,0.5,False,0,-0.0025859953591605978,0.013312223819611946,-0.010825408776940574
2022-02-11,308.2,0,0.0,1018800.3891389356,1018800.3891389356,0.0,0.0,46.51162790697674,0.5,False,1,0.005416065443912377,0.018800389138935447,-0.005467974455421193
2022-02-23,308.2,0,0.0,1018800.3891389356,1018800.3891389356,0.0,0.0,46.51162790697674,0.5,False,2,0.0,0.018800389138935447,-0.005467974455421193
2022-05-11,343.4,1,76410.02918542018,1011155.5657189343,1018800.3891389356,0.0,0.0,1.1235955056179776,0.5,False,0,0.0,0.018800389138935447,-0.005467974455421193
2022-05-17,327.0,1,76410.02918542018,1011155.5657189343,1007506.397173096,-3649.1685458383495,0.0,1.1235955056179776,0.5,False,1,-0.011085578771112381,0.007506397173095758,-0.016492937564989592
2022-05-24,323.0,1,76410.02918542018,1011155.5657189343,1006616.3560643549,-4539.209654579412,0.0,1.1235955056179776,0.5,False,2,-0.000883409883290498,0.006616356064354623,-0.01736177742423065
2022-05-25,322.0,1,76410.02918542018,1011155.5657189343,1006393.8457871696,-4761.719931764677,0.0,1.1235955056179776,0.5,False,3,-0.0002210477465866001,0.006393845787169283,-0.017578987389040884
2022-06-10,319.2,-1,-67610.14936574288,1006636.4029751635,1005770.8170110509,-5384.748707883423,0.0,91.11111111111111,0.5,False,0,-0.0006190705345892056,0.005770817011050644,-0.018187175290509634
2022-06-14,329.0,-1,-67610.14936574288,1006636.4029751635,1004560.6527753382,-2075.750199825442,0.0,91.11111111111111,0.5,False,1,-0.0012032206694057024,0.004560652775337903,-0.019368512774687662
2022-06-17,327.0,-1,-67610.14936574288,1006636.4029751635,1004984.2752650984,-1652.1277100651482,0.0,91.11111111111111,0.5,False,2,0.0004216992658332419,0.004984275265098148,-0.018954981196471828
2022-06-22,281.0,-1,-67610.14936574288,1006636.4029751635,1014727.5925295851,8091.189554421609,0.0,91.11111111111111,0.5,False,3,0.009694994741998864,0.014727592529584888,-0.009443754897507428
2022-06-23,302.0,-1,-67610.14936574288,1006636.4029751635,1010279.5563871021,3643.153411938524,0.0,91.11111111111111,0.5,False,4,-0.004383478063698432,0.010279556387101874,-0.013785836468773738
2022-06-28,330.0,-1,-67610.14936574288,1006636.4029751635,1004348.841530458,-2287.5614447055887,0.0,91.11111111111111,0.5,False,5,-0.005870370056633822,0.004348841530457781,-0.019575278563795637
2022-07-18,292.0,0,0.0,1019155.3032650095,1012397.6688359035,5761.265860739993,5761.265860739993,60.43956043956044,0.5,False,0,0.008013975794685546,0.01239766883590332,-0.01171817857769457
2022-07-29,329.0,0,0.0,1019155.3032650095,1019155.3032650095,0.0,0.0,60.43956043956044,0.5,False,1,0.006674881459255211,0.01915530326500936,-0.0051215145713638015
2022-08-02,329.0,0,0.0,1019155.3032650095,1019155.3032650095,0.0,0.0,33.69565217391305,0.5,False,2,0.0,0.01915530326500936,-0.0051215145713638015
2022-08-09,329.0,0,0.0,1019155.3032650095,1019155.3032650095,0.0,0.0,33.69565217391305,0.5,False,3,0.0,0.01915530326500936,-0.0051215145713638015
2022-08-17,302.0,0,0.0,1019155.3032650095,1019155.3032650095,0.0,0.0,33.69565217391305,0.5,False,4,0.0,0.01915530326500936,-0.0051215145713638015
2022-08-22,315.0,0,0.0,1019155.3032650095,1019155.3032650095,0.0,0.0,33.69565217391305,0.5,False,5,0.0,0.01915530326500936,-0.0051215145713638015
2022-08-24,300.0,0,0.0,1019155.3032650095,1019155.3032650095,0.0,0.0,33.69565217391305,0.5,False,6,0.0,0.01915530326500936,-0.0051215145713638015
2022-09-06,299.0,-1,-71286.0779326762,1012023.1311678453,1019155.3032650095,0.0,0.0,92.47311827956989,0.5,False,0,0.0,0.01915530326500936,-0.0051215145713638015
2022-09-21,296.8,-1,-71286.0779326762,1012023.1311678453,1012547.644115845,524.5129479996215,0.0,92.47311827956989,0.5,False,1,-0.00648346638436359,0.012547644115844747,-0.011571775788166924
2022-09-30,313.0,-1,-71286.0779326762,1012023.1311678453,1008685.3214987568,-3337.8096690885177,0.0,92.47311827956989,0.5,False,2,-0.003814460128896746,0.00868532149875656,-0.015342095839699163
2022-10-07,277.0,0,0.0,1024393.3041372126,1017268.2606478416,5245.129479996242,5245.129479996242,68.08510638297872,0.5,False,0,0.008509035440638524,0.01726826064784137,-0.006963606836294249
2022-10-12,270.0,0,0.0,1024393.3041372126,1024393.3041372126,0.0,0.0,68.08510638297872,0.5,False,1,0.007004094952135276,0.024393304137212413,-8.28564764973423e-06
2022-11-02,288.0,1,39627.84623899217,1020428.5381210014,1024393.3041372126,0.0,0.0,23.157894736842106,0.5,False,0,0.0,0.024393304137212413,-8.28564764973423e-06
2022-11-10,290.0,1,39627.84623899217,1020428.5381210014,1020703.7314976611,275.1933766596678,0.0,23.157894736842106,0.5,False,1,-0.0036017149122806735,0.020703731497661026,-0.003609970717389719
2022-11-22,272.0,1,39627.84623899217,1020428.5381210014,1018226.9911077241,-2201.5470132773426,0.0,23.157894736842106,0.5,False,2,-0.0024265027289582797,0.018226991107723967,-0.006027713842550773
2022-11-29,290.8,1,39627.84623899217,1020428.5381210014,1020813.8088483249,385.2707273235365,0.0,23.157894736842106,0.5,False,3,0.002540511853635463,0.020813808848324733,-0.0035025154673825887
2022-11-30,291.8,1,39627.84623899217,1020428.5381210014,1020951.4055366549,522.8674156533705,0.0,23.157894736842106,0.5,False,4,0.00013479117066927948,0.020951405536654866,-0.003368196404873534
2023-01-19,305.0,-1,-106388.92690299095,1016076.9720788946,1022767.6818226086,2339.1437016071764,0.0,83.50515463917526,0.5,False,0,0.00177900365884609,0.022767681822608576,-0.0015951847797554888
2023-01-27,278.0,-1,-106388.92690299095,1016076.9720788946,1025495.0082309627,9418.03615206805,0.0,83.50515463917526,0.5,False,1,0.0026666137939497236,0.025495008230962624,0.0
2023-01-30,278.0,-1,-106388.92690299095,1016076.9720788946,1025495.0082309627,9418.03615206805,0.0,83.50515463917526,0.5,False,2,0.0,0.025495008230962624,0.0
2023-02-03,312.0,0,0.0,1024268.8322463864,1013635.2590024326,-2441.7130764620874,-2441.7130764620874,58.16326530612245,0.5,False,0,-0.011564901957922591,0.013635259002432454,-0.011564901957922586
2023-02-15,312.0,0,0.0,1024268.8322463864,1024268.8322463864,0.0,0.0,58.16326530612245,0.5,False,1,0.010490532121405272,0.02426883224638643,-0.0011956918119879019
2023-02-21,291.0,0,0.0,1024268.8322463864,1024268.8322463864,0.0,0.0,58.16326530612245,0.5,False,2,0.0,0.02426883224638643,-0.0011956918119879019
2023-02-22,294.0,0,0.0,1024268.8322463864,1024268.8322463864,0.0,0.0,58.16326530612245,0.5,False,3,0.0,0.02426883224638643,-0.0011956918119879019
2023-02-23,312.0,0,0.0,1024268.8322463864,1024268.8322463864,0.0,0.0,58.16326530612245,0.5,False,4,0.0,0.02426883224638643,-0.0011956918119879019
2023-03-01,292.0,-1,-76820.16241847898,1016582.9749964176,1024268.8322463864,0.0,0.0,95.95959595959596,0.5,False,0,0.0,0.02426883224638643,-0.0011956918119879019
2023-05-10,317.0,-1,-76820.16241847898,1016582.9749964176,1010005.9062962054,-6577.068700212241,0.0,84.15841584158416,0.5,False,1,-0.0139249828767124,0.010005906296205236,-0.015104024700692498
2023-07-13,320.0,-1,-76820.16241847898,1016582.9749964176,1009216.65805218,-7366.31694423771,0.0,87.37864077669903,0.5,False,2,-0.000781429335319106,0.00921665805217975,-0.01587365130802908
2023-07-25,330.0,-1,-76820.16241847898,1016582.9749964176,1006585.830572095,-9997.144424322607,0.0,87.37864077669903,0.5,False,3,-0.0026068014822134833,0.00658583057209472,-0.01843907333248465
2023-08-22,324.0,0,0.0,1015842.502293873,1008164.327060146,-8418.64793627167,-8418.64793627167,73.07692307692307,0.5,False,0,0.0015681687940649613,0.008164327060145915,-0.016899820117811264
2023-08-24,318.8,0,0.0,1015842.502293873,1015842.502293873,0.0,0.0,73.07692307692307,0.5,False,1,0.007615995753506688,0.01584250229387285,-0.00941253332255688
2023-08-28,325.0,0,0.0,1015842.502293873,1015842.502293873,0.0,0.0,73.07692307692307,0.5,False,2,0.0,0.01584250229387285,-0.00941253332255688
2023-10-04,318.0,0,0.0,1015842.502293873,1015842.502293873,0.0,0.0,44.339622641509436,0.5,False,3,0.0,0.01584250229387285,-0.00941253332255688
2023-10-05,325.8,0,0.0,1015842.502293873,1015842.502293873,0.0,0.0,44.339622641509436,0.5,False,4,0.0,0.01584250229387285,-0.00941253332255688
2023-10-23,324.2,0,0.0,1015842.502293873,1015842.502293873,0.0,0.0,44.339622641509436,0.5,False,5,0.0,0.01584250229387285,-0.00941253332255688
2023-10-27,334.4,0,0.0,1015842.502293873,1015842.502293873,0.0,0.0,44.339622641509436,0.5,False,6,0.0,0.01584250229387285,-0.00941253332255688
2023-10-31,325.0,0,0.0,1015842.502293873,1015842.502293873,0.0,0.0,44.339622641509436,0.5,False,7,0.0,0.01584250229387285,-0.00941253332255688
2023-11-06,321.8,0,0.0,1015842.502293873,1015842.502293873,0.0,0.0,30.8411214953271,0.5,False,8,0.0,0.01584250229387285,-0.00941253332255688
2023-11-14,318.0,0,0.0,1015842.502293873,1015842.502293873,0.0,0.0,30.8411214953271,0.5,False,9,0.0,0.01584250229387285,-0.00941253332255688
2023-11-28,328.4,0,0.0,1015842.502293873,1015842.502293873,0.0,0.0,30.8411214953271,0.5,False,10,0.0,0.01584250229387285,-0.00941253332255688
2023-12-19,331.8,0,0.0,1015842.502293873,1015842.502293873,0.0,0.0,26.851851851851855,0.5,False,11,0.0,0.01584250229387285,-0.00941253332255688
2024-01-25,332.0,1,101863.83990891773,1005651.0251109857,1015842.502293873,0.0,0.0,17.431192660550458,0.5,False,0,0.0,0.01584250229387285,-0.00941253332255688
2024-02-29,346.8,1,101863.83990891773,1005651.0251109857,1010191.9432756001,4540.918164614408,0.0,13.636363636363635,0.5,False,1,-0.0055624361114182674,0.010191943275599913,-0.014922612818721802
2024-05-09,345.0,0,0.0,1019820.960243665,1009639.6694447687,3988.644333782923,3988.644333782923,50.442477876106196,0.5,False,0,-0.0005467018763193332,0.009639669444768462,-0.015461156474613512
2024-06-24,358.2,0,0.0,1019820.960243665,1019820.960243665,0.0,0.0,52.63157894736842,0.5,False,1,0.01008408356666024,0.019820960243664754,-0.005532984501880413
2024-08-02,351.0,0,0.0,1019820.960243665,1019820.960243665,0.0,0.0,35.3448275862069,0.5,False,2,0.0,0.019820960243664754,-0.005532984501880413
2024-09-06,351.0,0,0.0,1019820.960243665,1019820.960243665,0.0,0.0,29.059829059829063,0.5,False,3,0.0,0.019820960243664754,-0.005532984501880413
2024-10-04,353.6,0,0.0,1019820.960243665,1019820.960243665,0.0,0.0,36.440677966101696,0.5,False,4,0.0,0.019820960243664754,-0.005532984501880413
2024-11-06,350.0,1,84242.35327054812,1011392.5127989467,1019820.960243665,0.0,0.0,21.84873949579832,0.5,False,0,0.0,0.019820960243664754,-0.005532984501880413
2024-11-20,360.6,1,84242.35327054812,1011392.5127989467,1013943.8526408548,2551.339841908034,0.0,21.84873949579832,0.5,False,1,-0.00576288175270101,0.013943852640854626,-0.011263980319157573
2024-11-21,352.0,1,84242.35327054812,1011392.5127989467,1011873.8976747784,481.38487583170354,0.0,21.84873949579832,0.5,False,2,-0.0020414887478089616,0.011873897674778311,-0.013282473777889476
2025-01-15,352.6,0,0.0,1020438.3363469192,1012018.3131375279,625.8003385812201,625.8003385812201,44.62809917355372,0.5,False,0,0.00014272081045030305,0.012018313137527992,-0.013141648652861642
2025-04-03,362.0,1,127390.20521492187,1007692.9463151663,1020438.3363469192,0.0,0.0,11.29032258064516,0.5,False,0,0.008320030477795282,0.02043833634691916,-0.004930957092386572
2025-04-11,361.0,1,127390.20521492187,1007692.9463151663,1007341.0396709262,-351.90664424011567,0.0,11.29032258064516,0.5,False,1,-0.012834971217251745,0.007341039670926142,-0.01770263961728408
2025-04-16,363.0,1,127390.20521492187,1007692.9463151663,1008044.8529594064,351.90664424011567,0.0,11.29032258064516,0.5,False,2,0.0006986842199045995,0.008044852959406601,-0.017016323952330825
2025-04-22,370.0,1,127390.20521492187,1007692.9463151663,1010508.1994690872,2815.2531539209253,0.0,11.29032258064516,0.5,False,3,0.0024436874038380463,0.01050819946908721,-0.014614219124994663
2025-05-22,362.8,0,0.0,1020707.1226417898,1007974.4716305584,281.52531539209656,281.52531539209656,42.4,0.5,False,0,-0.002507379791534592,0.00797447163055831,-0.017084955518826196
2025-05-27,363.8,0,0.0,1020707.1226417898,1020707.1226417898,0.0,0.0,42.4,0.5,False,1,0.012631918138397369,0.020707122641789866,-0.004668853139940882
2025-05-29,364.8,0,0.0,1020707.1226417898,1020707.1226417898,0.0,0.0,42.4,0.5,False,2,0.0,0.020707122641789866,-0.004668853139940882
2025-06-11,365.2,0,0.0,1020707.1226417898,1020707.1226417898,0.0,0.0,26.190476190476193,0.5,False,3,0.0,0.020707122641789866,-0.004668853139940882
2025-06-13,363.2,0,0.0,1020707.1226417898,1020707.1226417898,0.0,0.0,26.190476190476193,0.5,False,4,0.0,0.020707122641789866,-0.004668853139940882
2025-06-20,365.2,0,0.0,1020707.1226417898,1020707.1226417898,0.0,0.0,26.190476190476193,0.5,False,5,0.0,0.020707122641789866,-0.004668853139940882
2025-07-29,364.6,1,53004.43680175279,1015404.0287397745,1020707.1226417898,0.0,0.0,16.535433070866144,0.5,False,0,0.0,0.020707122641789866,-0.004668853139940882
